Date,Adj Close,Close,High,Low,Open,Volume
2024-01-02,88.08999633789062,88.08999633789062,92.81999969482422,87.58999633789062,91.86000061035156,0
2024-01-03,89.6500015258789,89.6500015258789,92.30999755859375,86.2300033569336,89.26000213623047,0
2024-01-04,87.58999633789062,87.58999633789062,90.41000366210938,86.68000030517578,89.91999816894531,0
2024-01-05,82.87000274658203,82.87000274658203,86.4800033569336,82.55000305175781,86.45999908447266,0
2024-01-08,81.26000213623047,81.26000213623047,85.62000274658203,80.2300033569336,85.62000274658203,0
2024-01-09,78.58999633789062,78.58999633789062,82.55999755859375,78.31999969482422,82.37000274658203,0
2024-01-10,77.08999633789062,77.08999633789062,79.9800033569336,76.45999908447266,79.72000122070312,0
2024-01-11,75.54000091552734,75.54000091552734,79.80999755859375,75.45999908447266,76.13999938964844,0
2024-01-12,86.06999969482422,86.06999969482422,86.06999969482422,75.13999938964844,75.62999725341797,0
2024-01-16,89.58999633789062,89.58999633789062,93.66000366210938,88.3499984741211,90.31999969482422,0
2024-01-17,91.36000061035156,91.36000061035156,96.19000244140625,88.81999969482422,95.97000122070312,0
2024-01-18,86.33999633789062,86.33999633789062,90.0999984741211,86.06999969482422,88.62000274658203,0
2024-01-19,81.94999694824219,81.94999694824219,85.7300033569336,81.56999969482422,84.93000030517578,0
2024-01-22,79.16999816894531,79.16999816894531,83.44999694824219,78.62999725341797,83.41999816894531,0
2024-01-23,76.66999816894531,76.66999816894531,78.77999877929688,76.08000183105469,78.19000244140625,0
2024-01-24,80.94000244140625,80.94000244140625,81.16000366210938,74.6500015258789,75.61000061035156,0
2024-01-25,81.38999938964844,81.38999938964844,81.80999755859375,79.75,80.56999969482422,0
2024-01-26,82.19999694824219,82.19999694824219,82.19999694824219,79.87000274658203,81.41999816894531,0
2024-01-29,83.4000015258789,83.4000015258789,84.91999816894531,83.01000213623047,83.91999816894531,0
2024-01-30,82.23999786376953,82.23999786376953,83.94000244140625,81.80000305175781,83.69000244140625,0
2024-01-31,87.55999755859375,87.55999755859375,89.4000015258789,81.98999786376953,82.12000274658203,0
2024-02-01,84.83000183105469,84.83000183105469,89.66000366210938,83.01000213623047,85.94999694824219,0
2024-02-02,83.30999755859375,83.30999755859375,86.51000213623047,82.55999755859375,85.98999786376953,0
2024-02-05,79.58000183105469,79.58000183105469,86.81999969482422,78.80999755859375,84.69000244140625,0
2024-02-06,76.97000122070312,76.97000122070312,80.30000305175781,76.68000030517578,78.5999984741211,0
2024-02-07,80.54000091552734,80.54000091552734,82.26000213623047,79.5999984741211,79.83000183105469,0
2024-02-08,83.06999969482422,83.06999969482422,86.7699966430664,82.80000305175781,85.25,0
2024-02-09,81.94000244140625,81.94000244140625,84.8499984741211,81.52999877929688,82.45999908447266,0
2024-02-12,84.62999725341797,84.62999725341797,85.37000274658203,82.80000305175781,82.94999694824219,0
2024-02-13,93.19000244140625,93.19000244140625,101.45999908447266,85.0999984741211,88.01000213623047,0
2024-02-14,83.16999816894531,83.16999816894531,89.04000091552734,81.44000244140625,88.58999633789062,0
2024-02-15,82.4000015258789,82.4000015258789,85.33000183105469,81.94000244140625,82.52999877929688,0
2024-02-16,82.62999725341797,82.62999725341797,85.01000213623047,80.02999877929688,82.87999725341797,0
2024-02-20,86.0999984741211,86.0999984741211,90.61000061035156,85.55999755859375,88.79000091552734,0
2024-02-21,84.66000366210938,84.66000366210938,87.70999908447266,84.3499984741211,86.83000183105469,0
2024-02-22,80.87999725341797,80.87999725341797,81.01000213623047,77.98999786376953,80.87999725341797,0
2024-02-23,78.86000061035156,78.86000061035156,80.31999969482422,78.16999816894531,79.88999938964844,0
